sep=,
"Time","Global Solar","Generic flat plate PV Solar Altitude","Generic flat plate PV Solar Azimuth","Generic flat plate PV Angle of Incidence","Generic flat plate PV Incident Solar","Generic flat plate PV Power Output","Wind Speed","Generic 1.5 MW Power Output","Generic 1.5 MW Operating Status","AC Primary Load","AC Primary Load Served","Autosize Genset Power Output","Autosize Genset Operating Status","Autosize Genset Fuel","Generic Large Genset (size-your-own) Power Output","Generic Large Genset (size-your-own) Operating Status","Generic Large Genset (size-your-own) Fuel","Total Electrical Load Served","Renewable Penetration","Excess Electrical Production","Unmet Electrical Load","Total Renewable Power Output","Inverter Power Input","Inverter Power Output","Rectifier Power Input","Rectifier Power Output","Generic 1kWh Li-Ion Maximum Charge Power","Generic 1kWh Li-Ion Maximum Discharge Power","Generic 1kWh Li-Ion Charge Power","Generic 1kWh Li-Ion Discharge Power","Generic 1kWh Li-Ion Input Power","Generic 1kWh Li-Ion Energy Content","Generic 1kWh Li-Ion State of Charge","Generic 1kWh Li-Ion Energy Cost","Electrolyzer Input","Electrolyzer Output","Stored Hydrogen","Excess Hydrogen","AC Required Operating Capacity","DC Required Operating Capacity","AC Operating Capacity","DC Operating Capacity"
,"kW/m2","°","°","°","kW/m2","kW","m/s","kW","status","kW","kW","kW","status","kg","kW","status","L","kW","%","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","kWh","%","$/kWh","kW","kg/hr","kg","kg/hr","kW","kW","kW","kW"
"1/1/2007 12:00:00 AM","0","0","-175.8161","90","0","0","8.346207","107060.4","0","12740.34","12740.34","0","-3","0","0","0","0","12840.34","833.7816","94214.77","0","107060.4","0","0","105.2632","100","0","711630.8","0","0","0","937655.9","100","0","100","1.901408","11.90141","0","67544.55","0","107060.4","711630.8"
"1/1/2007 1:00:00 AM","0","0","-150.4017","90","0","0","7.227969","78662.45","0","12307.12","12307.12","0","-3","0","0","0","0","12407.12","634.0105","66250.06","0","78662.45","0","0","105.2632","100","0","711630.8","0","0","0","937655.9","100","0","100","1.901408","13.80282","0","52869.06","0","78662.45","711630.8"
"1/1/2007 2:00:00 AM","0","0","-129.1754","90","0","0","6.570551","59706.8","0","18120.84","18120.84","0","-3","0","0","0","0","18220.84","327.6841","41480.7","0","59706.8","0","0","105.2632","100","0","711630.8","0","0","0","937655.9","100","0","100","1.901408","15.70423","0","49786.33","0","59706.8","711630.8"
"1/1/2007 3:00:00 AM","0","0","-112.2124","90","0","0","2.209159","0","0","22312.6","22312.6","0","-3","0","0","0","0","22312.6","0","0","0","0","23486.95","22312.6","0","0","0","711630.8","0","23486.95","-23486.95","912898.4","97.35965","0","0","0","15.70423","0","24543.86","0","0","711630.8"
"1/1/2007 4:00:00 AM","0","0","-98.17099","90","0","0","3.070374","0","0","22405.4","22405.4","0","-3","0","0","0","0","22405.4","0","0","0.000000000003637979","0","23584.63","22405.4","0","0","26096.61","688143.8","0","23584.63","-23584.63","888038.1","94.70831","0","0","0","15.70423","0","24645.94","0","0","688143.8"
"1/1/2007 5:00:00 AM","0","0","-85.80167","90","0","0","3.327971","8349.911","0","32405.1","32405.1","0","-3","0","0","0","0","32405.1","25.76727","0","0","8349.911","25321.25","24055.19","0","0","52301.75","664559.2","0","25321.25","-25321.25","861347.1","91.86176","0","0","0","15.70423","0","39820.57","0","8349.911","664559.2"
"1/1/2007 6:00:00 AM","0","0","-74.20993","90","0","0","3.016814","0","0","39959.93","39959.93","0","-3","0","0","0","0","39959.93","0","0","0","0","42063.08","39959.93","0","0","80436.48","639237.9","0","42063.08","-42063.08","817008.8","87.13311","0","0","0","15.70423","0","43955.92","0","0","639237.9"
"1/1/2007 7:00:00 AM","0","0","-62.76874","90","0","0","4.975116","25994.21","0","53751.57","53751.57","0","-3","0","0","0","0","53751.57","48.35991","0","0","25994.21","29218.27","27757.36","0","0","127173.2","597174.9","0","29218.27","-29218.27","786210","83.84846","0","0","0","15.70423","0","72123.83","0","25994.21","597174.9"
"1/1/2007 8:00:00 AM","0.0004014401","0","-51.02945","90","0","0","4.913336","25017.62","0","61651.16","61651.16","0","-3","0","0","0","0","61651.16","40.57933","0","0","25017.62","38561.61","36633.54","0","0","159638","567956.6","0","38561.61","-38561.61","745562.5","79.51344","0","0","0","15.70423","0","80325.09","0","25017.62","567956.6"
"1/1/2007 9:00:00 AM","0.01148021","4.447957","-38.68985","47.41011","0.01017676","166.2389","4.367063","17671.61","0","71487.2","71487.2","0","-3","0","0","0","0","71487.2","24.9525","0","0.00000000001455192","17837.85","56648","53815.6","0","0","202484.2","529395","0","56481.76","-56481.76","686025.5","73.16389","0","0","0","15.70423","0","87471.73","132.9911","17671.61","529561.2"
"1/1/2007 10:00:00 AM","0.001694204","9.113389","-25.61459","35.41346","0.001421299","23.21714","6.874152","67705.43","0","58222.05","58222.05","0","-3","0","0","0","0","58222.05","116.3282","0","0","67728.64","0","0","9483.377","9009.208","265241.7","472913.2","9032.425","0","9032.425","694594.4","74.07775","0","0","0","15.70423","0","97896.97","18.57371","67705.43","472936.4"
"1/1/2007 11:00:00 AM","0.0009793905","11.93211","-11.87943","26.14209","0.0008191126","13.38033","3.480659","9476.263","0","75497.46","75497.46","0","-3","0","0","0","0","75497.46","12.56949","0","0.00000000001455192","9489.643","69496","66021.2","0","0","256209.3","481042.4","0","69482.62","-69482.62","621353.2","66.26666","0","0","0","15.70423","0","87785.34","10.70427","9476.263","481055.8"
"1/1/2007 12:00:00 PM","0.02103111","12.6708","2.218839","23.1838","0.01814317","296.3714","2.939249","0","0","72453.22","72453.22","0","-3","0","0","0","0","72453.22","0.4090521","0","0.00000000001455192","296.3714","76266.55","72453.22","0","0","333412.2","411559.8","0","75970.18","-75970.18","541273.7","57.72626","0","0","0","15.70423","0","79698.54","237.0972","0","411856.2"
