# Renewables.ninja Solar PV (Point API) - 54.194, -4.559 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Isle_of_Man, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Isle_of_Man", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "54.1936805", "lon": "-4.5591148", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "25000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 00:00,0
2019-01-01 01:00,2019-01-01 01:00,0
2019-01-01 02:00,2019-01-01 02:00,0
2019-01-01 03:00,2019-01-01 03:00,0
2019-01-01 04:00,2019-01-01 04:00,0
2019-01-01 05:00,2019-01-01 05:00,0
2019-01-01 06:00,2019-01-01 06:00,0
2019-01-01 07:00,2019-01-01 07:00,0
2019-01-01 08:00,2019-01-01 08:00,0
2019-01-01 09:00,2019-01-01 09:00,2385.328
2019-01-01 10:00,2019-01-01 10:00,6769.264
2019-01-01 11:00,2019-01-01 11:00,9692.760
2019-01-01 12:00,2019-01-01 12:00,10581.337
2019-01-01 13:00,2019-01-01 13:00,9463.299
2019-01-01 14:00,2019-01-01 14:00,6106.741
2019-01-01 15:00,2019-01-01 15:00,1575.112
2019-01-01 16:00,2019-01-01 16:00,0
2019-01-01 17:00,2019-01-01 17:00,0
2019-01-01 18:00,2019-01-01 18:00,0
2019-01-01 19:00,2019-01-01 19:00,0
2019-01-01 20:00,2019-01-01 20:00,0
2019-01-01 21:00,2019-01-01 21:00,0
2019-01-01 22:00,2019-01-01 22:00,0
2019-01-01 23:00,2019-01-01 23:00,0
2019-01-02 00:00,2019-01-02 00:00,0
2019-01-02 01:00,2019-01-02 01:00,0
2019-01-02 02:00,2019-01-02 02:00,0
2019-01-02 03:00,2019-01-02 03:00,0
2019-01-02 04:00,2019-01-02 04:00,0
2019-01-02 05:00,2019-01-02 05:00,0
2019-01-02 06:00,2019-01-02 06:00,0
2019-01-02 07:00,2019-01-02 07:00,0
2019-01-02 08:00,2019-01-02 08:00,0
2019-01-02 09:00,2019-01-02 09:00,1312.631
2019-01-02 10:00,2019-01-02 10:00,3224.751
