# Renewables.ninja Wind (Point API) - 54.194, -4.559 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Isle_of_Man, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Isle_of_Man", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "54.1936805", "lon": "-4.5591148", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "70000", "height": "80", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 00:00,63708.827
2019-01-01 01:00,2019-01-01 01:00,61890.861
2019-01-01 02:00,2019-01-01 02:00,58910.332
2019-01-01 03:00,2019-01-01 03:00,54922.856
2019-01-01 04:00,2019-01-01 04:00,50312.707
2019-01-01 05:00,2019-01-01 05:00,45939.814
2019-01-01 06:00,2019-01-01 06:00,43808.598
2019-01-01 07:00,2019-01-01 07:00,43071.373
2019-01-01 08:00,2019-01-01 08:00,43803.127
2019-01-01 09:00,2019-01-01 09:00,42944.150
2019-01-01 10:00,2019-01-01 10:00,41387.563
2019-01-01 11:00,2019-01-01 11:00,40108.434
2019-01-01 12:00,2019-01-01 12:00,38835.537
2019-01-01 13:00,2019-01-01 13:00,37346.397
2019-01-01 14:00,2019-01-01 14:00,34870.411
2019-01-01 15:00,2019-01-01 15:00,32448.256
2019-01-01 16:00,2019-01-01 16:00,30060.350
2019-01-01 17:00,2019-01-01 17:00,27757.929
2019-01-01 18:00,2019-01-01 18:00,26459.493
2019-01-01 19:00,2019-01-01 19:00,25902.520
2019-01-01 20:00,2019-01-01 20:00,25685.421
2019-01-01 21:00,2019-01-01 21:00,25313.617
2019-01-01 22:00,2019-01-01 22:00,23865.535
2019-01-01 23:00,2019-01-01 23:00,21838.504
2019-01-02 00:00,2019-01-02 00:00,19753.411
2019-01-02 01:00,2019-01-02 01:00,17988.078
2019-01-02 02:00,2019-01-02 02:00,16469.866
2019-01-02 03:00,2019-01-02 03:00,15388.340
2019-01-02 04:00,2019-01-02 04:00,14689.853
2019-01-02 05:00,2019-01-02 05:00,14622.661
2019-01-02 06:00,2019-01-02 06:00,15132.992
2019-01-02 07:00,2019-01-02 07:00,15219.783
2019-01-02 08:00,2019-01-02 08:00,14538.242
2019-01-02 09:00,2019-01-02 09:00,13042.295
2019-01-02 10:00,2019-01-02 10:00,11452.928
2019-01-02 11:00,2019-01-02 11:00,10081.633
2019-01-02 12:00,2019-01-02 12:00,8576.625
2019-01-02 13:00,2019-01-02 13:00,6991.683
2019-01-02 14:00,2019-01-02 14:00,5416.655
2019-01-02 15:00,2019-01-02 15:00,4666.110
2019-01-02 16:00,2019-01-02 16:00,5348.390
2019-01-02 17:00,2019-01-02 17:00,6920.574
2019-01-02 18:00,2019-01-02 18:00,8460.004
2019-01-02 19:00,2019-01-02 19:00,9736.930
2019-01-02 20:00,2019-01-02 20:00,10665.784
2019-01-02 21:00,2019-01-02 21:00,10080.618
2019-01-02 22:00,2019-01-02 22:00,8302.099
2019-01-02 23:00,2019-01-02 23:00,6618.367
2019-01-03 00:00,2019-01-03 00:00,5326.387
2019-01-03 01:00,2019-01-03 01:00,4303.933
2019-01-03 02:00,2019-01-03 02:00,3331.254
2019-01-03 03:00,2019-01-03 03:00,3151.587
2019-01-03 04:00,2019-01-03 04:00,4454.373
2019-01-03 05:00,2019-01-03 05:00,7997.083
2019-01-03 06:00,2019-01-03 06:00,12981.420
2019-01-03 07:00,2019-01-03 07:00,16072.170
2019-01-03 08:00,2019-01-03 08:00,16929.369
2019-01-03 09:00,2019-01-03 09:00,15465.871
2019-01-03 10:00,2019-01-03 10:00,13385.051
2019-01-03 11:00,2019-01-03 11:00,11352.378
2019-01-03 12:00,2019-01-03 12:00,9749.609
2019-01-03 13:00,2019-01-03 13:00,10481.601
2019-01-03 14:00,2019-01-03 14:00,12167.542
2019-01-03 15:00,2019-01-03 15:00,13310.412
2019-01-03 16:00,2019-01-03 16:00,14004.077
2019-01-03 17:00,2019-01-03 17:00,15049.000
2019-01-03 18:00,2019-01-03 18:00,16324.147
2019-01-03 19:00,2019-01-03 19:00,17408.536
2019-01-03 20:00,2019-01-03 20:00,17988.810
2019-01-03 21:00,2019-01-03 21:00,18872.777
2019-01-03 22:00,2019-01-03 22:00,19356.542
2019-01-03 23:00,2019-01-03 23:00,19527.721
2019-01-04 00:00,2019-01-04 00:00,19661.547
2019-01-04 01:00,2019-01-04 01:00,18990.262
2019-01-04 02:00,2019-01-04 02:00,16849.565
2019-01-04 03:00,2019-01-04 03:00,14169.826
2019-01-04 04:00,2019-01-04 04:00,12499.993
2019-01-04 05:00,2019-01-04 05:00,11029.292
